	C1
ACTA1	0
ACTA1_rna	0
ACTG2	0
ACTG2_rna	0
AKT1S1_phosphorylated	1
AREG_Cytosol	0
AREG_extracellular	0
AREG_rna	0
AREG_Secreted_compartment	0
ARHGEF7	1
BMP4	1
BMP4_rna	1
CALML3	0
CASQ2	0
CAV3	0
CAV3_rna	0
CCL11	1
CCL11_rna	1
CCL8	0
CCL8_rna	0
CFL1	1
Collagens_extracellular	1
CTGF_extracellular	1
CXCL1	1
CXCL1_rna	1
CXCL12_extracellular	1
CXCL12_rna	1
CXCL12_Secreted_compartment	1
CXCL12CXCR4_complex	1
CXCL2	1
CXCL2_rna	1
EGF_extracellular	1
EGFR	1
EGFR_complex	1
EGFR_rna	1
EMILIN1	1
FAP	1
FAP_rna	1
FGF1	1
FGF2_extracellular	1
FGF3	1
FGF4	1
FGF7	1
FGF7_rna	1
FGFRFGF1_complex	1
FGFRFGF2_complex	1
FGFRFGF3_complex	1
FGFRFGF4_complex	1
FN_extracellular	1
GAST	1
GASTCCKBR_complex	0
GLI2	1
GLI2_rna	1
GLNS	1
M_glc_D_e_simple_molecule	1
HGF_extracellular	1
HIF1A	1
HRC	0
IFNG	1
IGF1_extracellular	1
IGF1_rna	1
IGF1_Secreted_compartment	1
IGF2_extracellular	1
IGF2_rna	1
IGF2_Secreted_compartment	1
IGFBP3	1
IGFBP4	1
IHH	1
IL12	0
IL18	0
IL1A	1
IL1B_extracellular	1
IL1R_complex_Cytosol	0
IL1R_complex_Cytosol_2	0
IL6_extracellular	1
IRS2_phosphorylated	1
ITGA11	1
ITGA11_rna	1
ITGA11ITGB1_complex_Cytosol	1
ITGA11ITGB1_complex_Cytosol_active	1
ITGA1ITGB1_complex_Cytosol	0
ITGA1ITGB1_complex_Cytosol_active	0
ITGAVITGB6_complex_Cytosol	0
ITGAVITGB6_complex_Cytosol_active	0
Large_Latent_Complex_complex_extracellular	1
Large_Latent_Complex_complex_Secreted_compartment	1
LGALS1	1
LIF_extracellular	1
LIMK1_phosphorylated	1
LOX	1
LOX_rna	1
LPA_simple_molecule	0
MAP3K7TAB_complex	1
MIF	0
MIR101_antisense_rna	0
MIR141_antisense_rna	0
MIR155_antisense_rna	1
MIR200B_antisense_rna	0
MIR205_antisense_rna	0
MIR211_antisense_rna	1
MIR214_antisense_rna	0
MIR221_antisense_rna	1
MIR31_antisense_rna	0
MMP13	1
MMP13_rna	1
MMP14	1
MMP14_rna	1
MMP2	1
MYLK_phosphorylated	0
NDUFA4L2	0
NOX4	1
NOX4_rna	1
OSM	1
PDGF_extracellular	1
PDGFPDGFRA_complex	1
PDGFRA	1
PDGFRA_rna	1
PGE2_simple_molecule_extracellular	1
phospholipid_simple_molecule	1
PI45P2_simple_molecule	1
PLAU	1
PLAU_rna	1
PLG	1
POSTN_extracellular	1
PPBP	0
PPBP_rna	0
proPLAU_extracellular	1
PTCH2_rna	1
PTGS2_rna	1
PTK2_phosphorylated	1
PTPN6	0
RYR2TRDNASPH_complex	0
RYR2TRDNASPHHRCCASQ2_complex	0
SEPTINE4	0
SERPINE1	1
SERPINE1_rna	1
SHH	1
SMOPTCH_complex	1
SMOX	1
TGFB3_Cytosol	1
TGFB3_extracellular	1
TGFB3_rna	1
TNF	0
VTN	1
WAS_phosphorylated	0
WNT7	1
WWTR1	1
